N,Instruction,LOCK,SET -REX,SEGMENT,MEM_XCHG,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,Min Latency,Max Latency
241,CMOVB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
249,CMOVL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
251,CMOVL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
253,CMOVL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
255,CMOVLE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
257,CMOVLE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
259,CMOVLE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
261,CMOVNB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
263,CMOVNB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
265,CMOVNB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
273,CMOVNL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
275,CMOVNL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
277,CMOVNL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
279,CMOVNLE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
281,CMOVNLE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
283,CMOVNLE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
285,CMOVNO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
287,CMOVNO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
289,CMOVNO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
291,CMOVNP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
293,CMOVNP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
