n,inst ,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,min_lat,max_lat
305,VMOVUPS_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
306,VMOVUPS_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
307,VMOVUPS_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
308,VMPSADBW,0,0,1,0,0,0,0,0,2,0,0,0,0,3,11
309,VMPSADBW,0,0,0,0,0,0,0,0,2,0,0,0,0,3,4
310,VMULPD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
311,VMULPD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
312,VMULPD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,12
313,VMULPD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
314,VMULPS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
315,VMULPS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
316,VMULPS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,12
317,VMULPS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
318,VMULSD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
319,VMULSD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
320,VMULSS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
321,VMULSS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
322,VORPD,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
323,VORPD,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
324,VORPD,0,0,1,0,0,0,0,1,0,0,0,0,0,1,9
325,VORPD,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
326,VORPS,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
327,VORPS,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
328,VORPS,0,0,1,0,0,0,0,1,0,0,0,0,0,1,9
329,VORPS,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
330,VPABSB,0,0,1,0,0,0,0,0,0,0,0,1,0,5,8
331,VPABSB,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
332,VPABSD,0,0,1,0,0,0,0,0,0,0,0,1,0,5,8
333,VPABSD,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
334,VPABSW,0,0,1,0,0,0,0,0,0,0,0,1,0,5,8
335,VPABSW,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
336,VPACKSSDW,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
337,VPACKSSDW,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
